2021 Laser Incidents,,,,,,,,,
Incident Date,Incident Time,FlightID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State
1-Jan-21,0048,ASH6151,E75L,2000,SAV,Green,No,Savannah,Georgia
1-Jan-21,0056,SKW3321,E75L,17000,ZOA,Green,No,Fremont,California
1-Jan-21,0102,ACO2204,C208,5000,DSM,Green,No,Des Moines,Iowa
1-Jan-21,0125,AMF2521,E120,2000,ONT,Green,No,Ontario,California
1-Jan-21,0140,N149MF,BE9L,4000,ZSE,Green,No,Auburn,Washington
1-Jan-21,0215,NKS2412,A319,4000,F11,Green,No,Orlando,Florida
1-Jan-21,0330,UPS945,B767,8000,NCT,Green,No,Mather,California
1-Jan-21,0446,UAL591,B738,8000,SCT,Green,No,San Diego,California
1-Jan-21,0528,FFT244,A320,3000,I90,Green,No,Houston,Texas
1-Jan-21,0729,UAL1947,B739,19000,ZOA,Green,No,Fremont,California
1-Jan-21,0859,LN911PB,B407,700,PBI,Green,No,West Palm Beach,Florida
1-Jan-21,2209,ASA15,B739,12000,ZBW,Green,No,Nashua,New Hampshire
2-Jan-21,0030,EJA542,C68A,2000,MIA,Green,No,Miami,Florida
2-Jan-21,0033,RPA3405,E170,3500,BNA,Blue,No,Nashville,Tennessee
2-Jan-21,0035,AR2,HELO,400,MIA,Green,No,Miami,Florida
2-Jan-21,0036,NKS1174,A320,3000,BNA,Blue,No,Nashville,Tennessee
2-Jan-21,0140,SWA2917,B737,4000,F11,Green,No,Orlando,Florida
2-Jan-21,0200,N4P,C182,1200,SMX,Green,No,Santa Maria,California
2-Jan-21,0542,SKW3214,CRJ7,6000,SBA,Green,No,Santa Barbara,California
2-Jan-21,0545,SWA1377,B737,15000,NCT,Green,No,Mather,California
2-Jan-21,0548,NKS868,A320,35000,ZLA,Green,No,Palmsdale,California
2-Jan-21,0550,SWA4809,B737,3000,SCT,Green,No,San Diego,California
2-Jan-21,1245,KMK236,C208,1000,HCF,Green,No,Honolulu,Hawaii
2-Jan-21,2354,N1047M,P28A,4500,A80,Green,No,Peachtree City,Georgia
3-Jan-21,0043,SKW5534,E75L,29000,ZDC,Green,No,Leesburg,Virginia
3-Jan-21,0043,AAL2428,A320,37000,ZDC,Green,No,Leesburg,Virginia
3-Jan-21,0043,FSR919,GL7T,45000,ZDC,Green,No,Leesburg,Virginia
3-Jan-21,0045,TROOPER8,B407,1300,MGE,Green,No,Marietta ,Georgia
3-Jan-21,0059,DAL1612,B739,2500,MCO,Green,No,Orlando,Florida
3-Jan-21,0148,ASA499,B738,4000,SCT,Green,No,San Diego,California
3-Jan-21,0215,SKW3360,E75L,4000,SCT,White,No,San Diego,California
3-Jan-21,0219,IDAHO14,C208,10500,ELP,Unk,No,El Paso,Texas
3-Jan-21,0259,SKW5534,E75L,29000,ZDC,Green,No,Leesburg,Virginia
3-Jan-21,0303,G72094,UH72,3500,SDM,Green,No,San Diego,California
3-Jan-21,0313,N5415D,C172,4500,ZLC,Green,No,Salt Lake City,Utah
3-Jan-21,0316,UCA4853,E45X,7000,I90,Green,No,Houston,Texas
3-Jan-21,0434,N111WW,FA50,5000,SCT,Green,No,San Diego,California
3-Jan-21,0437,SWA1676,B738,2000,RSW,Green,No,Fort Myers,Florida
3-Jan-21,0535,RESCUE1,B06,2500,I90,Green,No,Houston,Texas
3-Jan-21,0612,UAL1205,B739,14000,ZLA,Green,No,Palmsdale,California
3-Jan-21,0615,UAL706,B753,12000,ZLA,Green,No,Palmsdale,California
3-Jan-21,0933,FDX900,B752,15000,ZMP,Blue,No,Dodge Center,Minnesota
3-Jan-21,1244,N646LF,A119,Unk,ZSE,Unk,No,Auburn,Washington
3-Jan-21,1410,AAH15,B733,3000,HCF,Blue,No,Honolulu,Hawaii
3-Jan-21,2230,SKW5491,E75L,2700,CVG,Green,No,Covington,Kentucky
3-Jan-21,2338,EDV4840,CRJ9,7000,CAE,Green,No,Columbia,South Carolina
4-Jan-21,0025,LN655JH,LJ35,5000,D10,Green,No,Dallas-Fort Worth,Texas
4-Jan-21,0040,JIA5549,CRJ9,30000,ZJX,Green,No,Hillard,Florida
4-Jan-21,0043,DAL1862,B739,5500,M98,Green,No,Minneapolis,Minnesota
4-Jan-21,0049,N2424L,C172,2500,GYR,Green,No,Goodyear,Arizona
4-Jan-21,0055,N904P,BE9L,5500,TPA,Green,No,Tampa,Florida
4-Jan-21,0101,DAL1728,A321,23000,ZJX,Green,No,Hillard,Florida
4-Jan-21,0105,SWA3187,B737,22000,ZFW,Green,No,Fort Worth,Texas
4-Jan-21,0115,SWA2367,B737,12000,ZFW,Green,No,Fort Worth,Texas
4-Jan-21,0124,FDX359,B752,1200,MCO,Green,No,Orlando,Florida
4-Jan-21,0130,SKY96Q,C172,1500,RBD,Green,No,Dallas,Texas
4-Jan-21,0131,PDT6111,E145,18000,ZHU,Green,No,Houston,Texas
4-Jan-21,0144,N179WC,C25B,10700,D01,Blue,No,Denver,Colorado
4-Jan-21,0145,JIA5035,CRJ9,Unk,CLT,Green,No,Charlotte,North Carolina
4-Jan-21,0209,PDT6223,E145,9000,ROA,Green,No,Roanoke,Virginia
4-Jan-21,0308,UAL490,A320,15000,ZHU,Green,No,Houston,Texas
4-Jan-21,0310,JTL827,C56X,6000,NCT,Green,No,Mather,California
4-Jan-21,0738,ASH6049,E75L,4000,P31,Blue,No,Pensacola,Florida
4-Jan-21,0742,N680GM,CL35,15000,NCT,Green,No,Mather,California
4-Jan-21,0746,JSX8137,E135,1000,SJC,Green,No,San Jose,California
4-Jan-21,0750,AAL2688,A321,1500,MIA,Green,No,Miami,Florida
4-Jan-21,0754,FFT2939,A20N,1000,MIA,Green,No,Miami,Florida
4-Jan-21,0756,AAL200,B738,11000,P50,Green,No,Phoenix,Arizona
4-Jan-21,0759,AAL2905,B738,8000,S46,Green,No,Burien,Washington
4-Jan-21,0802,DAL1422,A321,1500,MIA,Green,No,Miami,Florida
4-Jan-21,0804,CKS538,B744,600,MIA,Green,No,Miami,Florida
4-Jan-21,0806,LTG8484,B767,500,MIA,Green,No,Miami,Florida
4-Jan-21,0809,GTI8089,B744,1000,MIA,Green,No,Miami,Florida
4-Jan-21,0812,QXE2519,DH8D,3000,PDX,Blue,No,Portland,Oregon
4-Jan-21,0815,KFS150,LJ35,1000,MIA,Green,No,Miami,Florida
4-Jan-21,0817,LCO1106,B763,1000,MIA,Green,No,Miami,Florida
4-Jan-21,0820,AAL1456,A321,1000,MIA,Green,No,Miami,Florida
4-Jan-21,0822,GTI8373,B744,1500,MIA,Green,No,Miami,Florida
4-Jan-21,1408,AAL888,B738,5000,P80,Blue,No,Portland,Oregon
4-Jan-21,2306,HRCAN17,HELO,1300,RIC,Green,No,Richmond,Virginia
4-Jan-21,2327,SWA140,B737,3500,BNA,Blue,No,Nashville,Tennessee
4-Jan-21,2340,DAL1504,B712,29000,ZID,Green,No,Indianapolis,Indiana
5-Jan-21,0015,PAT12,HELO,2000,IAD,Green,No,Washington,District of Columbia
5-Jan-21,0025,SKW4663,CRJ2,4000,BIL,Green,No,Billings,Montana
5-Jan-21,0029,N717TP,PC12,5000,BIL,Green,No,Billings,Montana
5-Jan-21,0047,N388JP,DA40,6500,BJC,Green,No,Denver,Colorado
5-Jan-21,0100,UAL433,B738,17000,D01,Green,No,Denver,Colorado
