Incident Date,Incident Time,Flight ID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State
1-Jan-19,0035,N3EG,C421,2500,SAT,Green,No,San Antonio,Texas
1-Jan-19,0043,RPA3469,E75S,4000,IAH,Green,No,Houston,Texas
1-Jan-19,0044,UAL1607,A319,4000,IAH,Green,No,Houston,Texas
1-Jan-19,0110,N205TM,BE20,2500,HDC,Green,No,Hammond,Louisiana
1-Jan-19,0115,JIA5233,CRJ9,2000,JAX,Green,No,Jacksonville,Florida
1-Jan-19,0157,SWA2849,B738,3500,BNA,Green,No,Nashville,Tennessee
1-Jan-19,0225,SWA4112,B738,2000,FLL,Green,No,Fort Lauderdale,Florida
1-Jan-19,0250,SWA2504,B737,1800,SJU,Green,No,San Juan,Puerto Rico
1-Jan-19,0310,AIR01,B208,1000,DAB,Green,No,Daytona Beach,Florida
1-Jan-19,0326,N4203P,C172,8000,YKM,Green,No,Yakima,Washington
1-Jan-19,0422,SWA3206,B737,4000,HOU,Green,No,Houston,Texas
1-Jan-19,0434,AWI3789,CRJ2,2800,ERI,Green,No,Erie,Pennsylvania
1-Jan-19,0500,ASA19,B739,6000,SEA,Green,No,Seattle,Washington
1-Jan-19,0513,DAL861,B757,4000,LAX,Green,No,Los Angeles,California
1-Jan-19,0518,UPS473,A306,16000,SDF,Green,No,Louisville,Kentucky
1-Jan-19,0523,NKS719,A320,4000,ELM,Green,No,El Monte,California
1-Jan-19,0545,AAL2332,B738,6000,BNA,Green,No,Nashville,Tennessee
1-Jan-19,2310,AAL1948,A319,800,PIT,Green,No,Pittsburgh,Pennsylvania
2-Jan-19,0025,N7221Q,C172,4200,HLN,Green,No,Helena,Montana
2-Jan-19,0118,N6186V,C172,4000,SGJ,Green,No,St. Augustine,Florida
2-Jan-19,0144,N839SP,C172,2500,TTD,Green,No,Portland,Oregon
2-Jan-19,0220,SWA2210,B737,8000,IWA,Green,No,Phoenix,Arizona
2-Jan-19,0245,EDV5203,CRJ9,7000,MSP,Green,No,Minneapolis,Minnesota
2-Jan-19,0246,ASQ4363,E145,4000,IAH,Green,No,Houston,Texas
2-Jan-19,0326,JXS148,E145,4000,CCR,Green,No,Concord,California
2-Jan-19,0334,N446ER,C172,3500,CCR,Green,No,Concord,California
2-Jan-19,0354,AAL1962,A319,27000,EKN,Green,No,Elkins,West Virginia
2-Jan-19,0423,AAL887,A319,2000,SAT,Green,No,San Antonio,Texas
2-Jan-19,0430,N764AM,SK76,1500,GRR,Green,No,Grand Rapids,Michigan
2-Jan-19,0436,FFT2074,A320,2200,SAT,Green,No,San Antonio,Texas
2-Jan-19,0610,NRS7096,B789,37000,ALB,Blue and Purple,No,Schenectady,New York
2-Jan-19,0615,CPZ6052,E75L,6000,LAX,Green,No,Los Angeles,California
2-Jan-19,0630,ASA1391,A320,5000,SFO,Green,No,San Francisco,California
2-Jan-19,2349,RPA4463,E75L,1000,DCA,Green,No,Arlington,Virginia
3-Jan-19,0131,EDV5230,CRJ9,4000,LGA,Green,No,New York City,New York
3-Jan-19,0139,N977PT,BE20,8000,SBN,Green,No,South Bend,Indiana
3-Jan-19,0150,PDT4851,E145,3000,SYR,Green,No,Syracuse,New York
3-Jan-19,0210,UAL1279,B738,9000,MCO,Red,No,Orlando,Florida
3-Jan-19,0255,JBU135,A320/L,32000,MKE,Green,No,Milwaukee,Wisconsin
3-Jan-19,0305,AAL1217,B737,21000,PIA,Blue,No,Peoria,Illinois
3-Jan-19,0318,N672CC,C172,2000,ICT,Green,No,Wichita,Kansas
3-Jan-19,0337,DAL1076,B739,27000,MOD,Green,No,Modesto,California
3-Jan-19,0342,SKW5172,CRJ2/L,12000,DEN,Green,No,Denver,Colorado
3-Jan-19,0408,UAL1613,B78X,1800,LAX,Green,No,Los Angeles,California
3-Jan-19,0433,N785MM,E190,1800,LAX,Green,No,Los Angeles,California
3-Jan-19,0457,N723HG,C172,2800,IWA,Green,No,Phoenix,Arizona
3-Jan-19,0509,JIA5590,CRJ7,5000,CID,Green,No,Cedar Rapids,Iowa
3-Jan-19,0517,FFT409,A319,16500,DEN,Green,No,Denver,Colorado
3-Jan-19,0545,N42WA,CRJ2,21000,PUB,Green,No,Pueblo,Colorado
3-Jan-19,0557,SWA2434,B737,18000,MCI,Green,No,Kansas City,Missouri
3-Jan-19,2319,N1206U,C172,1000,FXE,Green,No,Fort Lauderdale,Florida
3-Jan-19,2330,JIA5593,CRJ2,6000,PHL,Green,No,Philadelphia,Pennsylvania
3-Jan-19,2340,N206JA,C172,1500,SUS,Red,No,St Louis,Missouri
4-Jan-19,0023,SKW2979,CRJ7,2500,MDW,Green,No,Chicago,Illinois
4-Jan-19,0110,SPRTN23,CH47,2000,MKC,Green,No,Kansas City,Missouri
4-Jan-19,0118,N6716Z,BE76,3500,ONT,Green,No,Ontario,California
4-Jan-19,0123,N148AK,BL8,7500,BJC,Green,No,Longmont,Colorado
4-Jan-19,0141,GAJ474,GLF4,5000,AUS,Green,No,Austin,Texas
4-Jan-19,0145,G08100,CH47,1200,ROC,Green,No,Rochester,New York
4-Jan-19,0206,WBR2709,C208,6000,STL,Green,No,St Louis,Missouri
4-Jan-19,0220,SWA876,B737,5000,PHX,Green,No,Phoenix,Arizona
4-Jan-19,0255,UCA4992,E145,2000,TTN,Blue,No,Yardley,Pennsylvania
4-Jan-19,0322,GGN7319,CRJ2,10000,RDU,Green,No,Raleigh,North Carolina
4-Jan-19,0326,AAL780,A320,1000,PX,Green,No,Phoenix,Arizona
4-Jan-19,0345,SKW4956,CRJ9,11000,MSP,Green,No,Minneapolis,Minnesota
4-Jan-19,0407,DAL2306,MD88,7000,DAY,Green,No,Dayton,Ohio
4-Jan-19,0445,BVN7279,C208,9000,AUS,Green,No,Austin,Texas
4-Jan-19,0455,CTL16,AC50,8000,FSD,Green,No,Mankato,Minnesota
4-Jan-19,0510,UPS503,B767,7500,SDF,Green,No,Louisville,Kentucky
4-Jan-19,0545,AR1,HELO,600,MIA,Green,No,Miami,Florida
4-Jan-19,0642,SWA794,B737,6500,RNO,Green,No,Reno,Nevada
4-Jan-19,0730,SKW5838,CRJ2,10000,FAT,Green,No,Fresno,California
4-Jan-19,1225,SKW5330,CRJ2,4300,ORD,Green,No,Chicago,Illinois
4-Jan-19,2236,JIA5280,CRJ9,4000,AVP,Green,No,Scranton,Pennsylvania
4-Jan-19,2325,N484AT,R44,250,DTS,Green,No,Destin,Florida
4-Jan-19,2325,SWA2406,B737,2800,STL,Green,No,St Louis,Missouri
5-Jan-19,0006,ENY3586,E135,2000,JFK,Blue,No,New York City,New York
5-Jan-19,0031,JBU1704,A320,300,FLL,Green,No,Fort Lauderdale,Florida
5-Jan-19,0038,AAL2681,B738,2000,JFK,Blue,No,New York City,New York
5-Jan-19,0045,JBU1815,E190,3000,FRG,Green,No,New York City,New York
5-Jan-19,0055,SKW3513,CRJ2,2000,FWA,Green,No,Fort Wayne,Indiana
5-Jan-19,0055,SWA4739,B737,3000,MDW,Green,No,Chicago,Illinois
5-Jan-19,0100,N89SP,P28A,2000,FWA,Green,No,Fort Wayne,Indiana
5-Jan-19,0118,RAX304,E110,9000,SBN,Green,No,South Bend,Indiana
5-Jan-19,0123,SWA1043,B737,10000,SBN,Green,No,South Bend,Indiana
5-Jan-19,0130,POE240,DH8D,4000,ERI,Green,No,Erie,Pennsylvania
5-Jan-19,0142,SKW3995,CRJ2,2300,MOB,Green,No,Mobile,Alabama
5-Jan-19,0144,AMF1977,E120,3500,PDX,Green,No,Portland,Oregon
5-Jan-19,0145,ENY3649,E145,17000,SBN,Green,No,South Bend,Indiana
5-Jan-19,0150,RPA3543,E75L,11000,PIT,Green,No,Pittsburgh,Pennsylvania
5-Jan-19,0153,SKW3306,E75L,7000,BOI,Green,No,Boise,Idaho
5-Jan-19,0213,N46324,C172,6500,OMA,Green,No,Omaha,Nebraska
5-Jan-19,0222,N81ED,C56X,7500,IND,Green,No,Indianapolis,Indiana
5-Jan-19,0223,ASH6069,E75L,6200,ABQ,Green,No,Albuquerque,New Mexico
5-Jan-19,0231,AMF1829,B190,4000,SAT,Green,No,San Antonio,Texas
5-Jan-19,0245,GEC8224,MD11,10000,AFW,Green,Yes,Fort Worth,Texas
