Incident Date,Incident Time,Flight ID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State
1-Jan-20,0148,N424RP,DA42/A,8500,SBA,Green,No,Santa Barbara,California
1-Jan-20,0155,AMF1829,B190,40000,SSF,Green,No,San Antonio,Texas
1-Jan-20,0214,NKS1881,A320,2500,TPA,Green,No,Tampa,Florida
1-Jan-20,0217,FDX3873,B763,3000,DFW,Green,No,Dallas-Fort Worth,Texas
1-Jan-20,0218,SWA3635,B739,11000,MOD,Green,No,Modesto,California
1-Jan-20,0239,PCOP1,HELO,1200,MDW,Green,No,Chicago,Illinois
1-Jan-20,0243,AAL473,A320,22000,DEN,Green,No,Denver,Colorado
1-Jan-20,0310,SWA6092,B737,11000,SNS,Green,No,Salinas,California
1-Jan-20,0325,DAL930,A319,5000,MYF,Green,No,San Diego,California
1-Jan-20,0435,DAL1211,A320,7500,LAX,Green,No,Los Angeles,California
1-Jan-20,0437,UAL309,B753,10000,LAX,Green,No,Los Angeles,California
1-Jan-20,0505,ASQ4195,E145,10000,JAX,Green,No,Jacksonville,Florida
1-Jan-20,0510,QXE2564,E75L,3500,SNA,Purple,No,Santa Ana,California
1-Jan-20,0550,ENY4136,E145,12000,DLH,Green,No,Duluth,Minnesota
1-Jan-20,0600,CKS1820,B767,16000,SBA,Green,No,Santa Barbara,California
1-Jan-20,0605,PAC997,B747,17000,SBA,Green,No,Santa Barbara,California
1-Jan-20,0658,DAL8838,B757,11500,HKY,Green,No,Hickory,North Carolina
1-Jan-20,0805,N736UG,C172,2500,YKM,Green,No,Yakima,Washington
1-Jan-20,0903,N85PH,BE9L,10000,MAF,Green,No,Midland,Texas
1-Jan-20,1020,N232HH,R44,1500,OGG,Green,No,Kahului,Hawaii
1-Jan-20,2325,UCA5007,E45X,10000,CLE,Green,No,Cleveland,Ohio
2-Jan-20,0014,JIA5416,CRJ2,1700,CAK,Green,No,North Canton,Ohio
2-Jan-20,0020,N6234W,P28A,6000,GSP,Green,No,Greer,South Carolina
2-Jan-20,0045,N11QT,PA30,2000,LOU,Green,No,Louisville,Kentucky
2-Jan-20,0210,UAL2429,B737,17000,DEN,Blue,No,Denver,Colorado
2-Jan-20,0230,AMF3921,SW4,2700,BUR,Green,No,Burbank,California
