Incident Date,Incident Time,FlightID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State
1-Jan-23,2330,LN163BF,EC35,800,PGD,Green,No,Punta Gorda,Florida
1-Jan-23,2300,EDV4994,CRJ9,13000,N90,Green,No,Westbury,New York
1-Jan-23,2257,N8410L,C172,2800,JQF,Green,No,Concord,North Carolina
1-Jan-23,1130,AAL605,B38M,16000,ZDC,Green,No,Leesburg,Virginia
1-Jan-23,0949,N269ME,C172,1800,HCF,Green,No,Honolulu,Hawaii
1-Jan-23,0818,SKW5235,E75L,500,ZSE,Green,No,Auburn,Washington
1-Jan-23,0815,WJA1852,B738,1000,OGG,Green,No,Kahului,Hawaii
1-Jan-23,0701,LN4,HELO,7500,ZDV,Green,No,Longmont,Colorado
1-Jan-23,0615,SKW3672,E75L,10000,ZSE,Green,No,Auburn,Washington
1-Jan-23,0605,SWA2449,B38M,6000,NCT,Blue,No,Mather,California
1-Jan-23,0604,HAL519,B712,1000,OGG,Green,No,Kahului,Hawaii
1-Jan-23,0542,POL5,EC35,2500,SAT,Blue,No,San Antonio,Texas
1-Jan-23,0522,UAL1722,B777,6000,NCT,Multi-color,No,Mather,California
1-Jan-23,0507,DAL338,B752,1500,SAN,Green,No,San Diego,California
1-Jan-23,0445,NKS1858,A20N,34000,ZME,Green,No,Memphis,Tennessee
1-Jan-23,0340,N 731ND,P28A,2000,DSM,Green,No,Des Moines,Iowa
1-Jan-23,0330,SCX796,B738,39000,ZTL,Blue,No,Hampton,Georgia
1-Jan-23,0320,FFT1207,A321,1000,MCO,Green,No,Orlando,Florida
1-Jan-23,0309,JBU1475,A320,1500,SJU,Blue,No,San Juan,Puerto Rico
1-Jan-23,0224,XSR337,E55P,8000,P50,Green,No,Phoenix,Arizona
1-Jan-23,0220,FDX783,MD11,5000,P50,Green,No,Phoenix,Arizona
1-Jan-23,0214,ASH6050,E75L,11000,MCI,Blue,No,Kansas City,Missouri
1-Jan-23,0203,N567JW,C172,7000,D01,Unk,No,Denver,Colorado
1-Jan-23,0200,EMD28,BE20,1700,ZJX,Green,No,Hillard,Florida
1-Jan-23,0148,SWA604,B737,3400,LAS,Green,No,Las Vegas,Nevada
1-Jan-23,0140,ASA761,B739,8000,P50,Green,No,Phoenix,Arizona
1-Jan-23,0138,N190CT,SR20,5000,A80,Green,No,Peachtree City,Georgia
1-Jan-23,0136,NKS1295,A320,11000,MCI,Blue,No,Kansas City,Missouri
1-Jan-23,0123,AAL1696,A320,4000,ICT,Green,No,Wichita,Kansas
1-Jan-23,0055,UAL2220,B739,200,C90,Green,No,Elgin,Illinois
1-Jan-23,0053,LN407SF,EC35,1000,RVS,Green,No,Tulsa,Oklahoma
1-Jan-23,0052,SCU25,P28A,8000,ZFW,Green,No,Fort Worth,Texas
1-Jan-23,0004,SLH818,C560,36000,ZME,Green,No,Memphis,Tennessee
2-Jan-23,2335,N1158Q,C172,3000,PBI,Green,No,West Palm Beach,Florida
2-Jan-23,2230,AAL2321,B738,2000,BDL,Green,No,Windsor Locks,Connecticut
2-Jan-23,0730,WJA1884,B38M,4000,HCF,Green,No,Honolulu,Hawaii
2-Jan-23,0713,SLW5957,E75L,36000,ZOA,Green,No,Fremont,California
2-Jan-23,0642,HAL100,A21N,2500,OGG,Green,No,Kahului,Hawaii
2-Jan-23,0558,N610SP,C172,4500,NCT,Green,No,Mather,California
2-Jan-23,0558,N21263,C172,4500,NCT,Green,No,Mather,California
2-Jan-23,0450,NKS686,A20N,1000,LGA,Green,No,New York,New York
2-Jan-23,0447,AAL2493,B738,5200,PCT,Blue,No,Warrenton,Virginia
2-Jan-23,0441,AAL2362,B38M,4200,PCT,Blue,No,Warrenton,Virginia
2-Jan-23,0430,UAL1377,B738,10000,T75,Green,No,St. Charles,Missouri
2-Jan-23,0420,AAL1286,B38M,3000,RDU,Blue,No,Raleigh/Durham,North Carolina
2-Jan-23,0350,SWA3140,B738,15000,S46,Green,No,Burien,Washington
2-Jan-23,0335,DAL916,BCS1,5000,S46,Green,No,Burien,Washington
2-Jan-23,0315,AAL2975,A321,9000,P50,Green,No,Phoenix,Arizona
2-Jan-23,0235,AAL1148,A321,14000,ZFW,Green,No,Fort Worth,Texas
2-Jan-23,0233,JIA5038,CRJ9,19000,ZNY,Green,No,Ronkonkoma,New York
2-Jan-23,0156,N4891J,C172,4500,OKC,Green,No,Oklahoma City,Oklahoma
2-Jan-23,0150,DOW175,E170,12000,N90,Green,No,Westbury,New York
2-Jan-23,0136,EJA598,C68A,10000,CHS,Green,No,Charleston ,South Carolina
2-Jan-23,0104,N741GS,C172,3500,GTR,Green,No,Columbus/W Point/Starkville,Mississippi
2-Jan-23,0100,DAL728,B739,6000,D21,Green,No,Detroit,Michigan
2-Jan-23,0050,LFL5,HELO,2500,TUL,Green,No,Tulsa,Oklahoma
2-Jan-23,0050,N535,C525,25000,ZJX,Green,No,Hillard,Florida
2-Jan-23,0043,AAL1080,B738,4000,D10,Green,No,Dallas-Fort Worth,Texas
2-Jan-23,0028,SWA907,B738,7000,PCT,Green,No,Warrenton,Virginia
2-Jan-23,0001,SKW4689,E75L,5000,TUL,Green,No,Tulsa,Oklahoma
3-Jan-23,2308,NKS882,A320,1000,MCO,Green,No,Orlando,Florida
3-Jan-23,2236,AAL2536,B738,4000,RDU,Blue And Purple,No,Raleigh/Durham,North Carolina
3-Jan-23,0609,AAL2426,B738,8000,ZTL,Green,No,Hampton,Georgia
3-Jan-23,0508,LN692W,BE9L,6000,P50,Green,No,Phoenix,Arizona
3-Jan-23,0257,N94JA,C172,1500,RSW,Green,No,Fort Myers,Florida
3-Jan-23,0256,QXE2269,E75L,500,MFR,Green,No,Medford,Oregon
3-Jan-23,0240,ENY3657,E170,5000,P50,Green,No,Phoenix,Arizona
3-Jan-23,0153,ENY4185,E170,3000,HSV,Green,No,Huntsville,Alabama
3-Jan-23,0132,ASA445,B739,10000,ZHU,Green,No,Houston,Texas
3-Jan-23,0103,CNS328,PC12,1600,CHS,Green,No,Charleston ,South Carolina
3-Jan-23,0030,EDV4732,CRJ9,2000,JFK,Green,No,New York,New York
3-Jan-23,0004,LBQ791,BE58,26000,RDG,Green,No,Reading,Pennsylvania
3-Jan-23,0002,N1531J,PA28,2000,BVY,Green,No,Beverly,Massachusetts
4-Jan-23,2353,RPA5800,E75S,7000,PCT,Green,No,Warrenton,Virginia
4-Jan-23,2327,KONA269,C182,7500,PCT,Green,No,Warrenton,Virginia
4-Jan-23,1028,ASA107,B738,1000,ANC,Green,No,Anchorage,Alaska
4-Jan-23,0904,FDX167,MD11,1000,ANC,Green,No,Anchorage,Alaska
4-Jan-23,0725,SWA1537,B737,10000,TUL,Blue,No,Tulsa,Oklahoma
4-Jan-23,0410,N860CR,C560,6000,JAX,Green,No,Jacksonville,Florida
4-Jan-23,0345,N737TX,C172,1700,NCT,Green,No,Mather,California
4-Jan-23,0344,SWA240,B737,27000,ZJX,Green,No,Hillard,Florida
4-Jan-23,0110,N265LH,BK17,1800,LIT,Green,Yes,Little Rock,Arkansas
4-Jan-23,0100,N78WE,C182,4600,ZHU,Green,No,Houston,Texas
4-Jan-23,0036,N19MV,C172,2000,HQZ,Blue,No,Mesquite,Texas
5-Jan-23,2350,ENY3436,E170,8000,ZJX,Green,No,Hillard,Florida
5-Jan-23,2335,SWA322,B737,11000,CHS,Green,No,Charleston ,South Carolina
5-Jan-23,2330,SWA2673,B737,11000,CHS,Green,No,Charleston ,South Carolina
5-Jan-23,2220,BTQ853,PC12,16000,ZNY,Green,No,Ronkonkoma,New York
5-Jan-23,0519,SKW5366,CRJ2,4000,FAR,Green,No,Fargo ,North Dakota
5-Jan-23,0501,DAL2348,B712,3000,RDU,Blue,No,Raleigh/Durham,North Carolina
5-Jan-23,0455,UPS581,A306,9000,SDF,Blue,No,Louisville,Kentucky
5-Jan-23,0435,UAL2053,A319,14000,ZSE,Blue,No,Auburn,Washington
5-Jan-23,0340,N820G,PA28,2000,ZHU,Green,No,Houston,Texas
5-Jan-23,0305,SWA2596,B738,13000,ZJX,Green,No,Hillard,Florida
5-Jan-23,0255,OKIE32,K35R,6000,OKC,Green,No,Oklahoma City,Oklahoma
5-Jan-23,0247,RNGR722,TEX2,1000,CRP,Green,No,Corpus Christi,Texas
5-Jan-23,0221,SWA2440,B737,8000,I90,Green,No,Houston,Texas
5-Jan-23,0219,SWA3441,B38M,12000,I90,Green,No,Houston,Texas
5-Jan-23,0202,N145NG,EC45,500,ORF,Green,No,Norfolk,Virginia
5-Jan-23,0136,N4763F,P28A,800,BCT,Green,No,Boca Raton,Florida
5-Jan-23,0135,N18032,C150,3500,ZME,Green,No,Memphis,Tennessee
5-Jan-23,0135,UAL1179,B739,12000,I90,Green,No,Houston,Texas
5-Jan-23,0106,AAL2080,B738,28500,ZTL,Green,No,Hampton,Georgia
5-Jan-23,0105,MNTNA01,BE9L,4000,CRP,Green,No,Corpus Christi,Texas
5-Jan-23,0050,R20805,H60,1500,EVV,Green,No,Evansville,Indiana
5-Jan-23,0030,SKW3548,E75L,15000,BIL,Green,No,Billings,Montana
5-Jan-23,0030,N505LE,B206,2500,SGF,Blue,No,Springfield,Missouri
5-Jan-23,0005,AAY3002,A320,1500,SRQ,Green,No,Sarasota/Bradenton,Florida
6-Jan-23,2336,VTE3404,E135,1900,PKB,Green,No,Parkersburg,West Virginia
6-Jan-23,2330,N333QT,BE30,4000,PHL,Green,No,Philadelphia,Pennsylvania
6-Jan-23,1056,NKS316,A321,21000,ZJX,Green,No,Hillard,Florida
6-Jan-23,0601,SWA2116,B737,13500,D01,Blue,No,Denver,Colorado
6-Jan-23,0541,FFT1190,A20,24000,ZJX,Green,No,Hillard,Florida
6-Jan-23,0538,FDX1377,B767,3000,MEM,Green,No,Memphis,Tennessee
6-Jan-23,0435,DAL2048,B738,17000,ZJX,Green,No,Hillard,Florida
6-Jan-23,0404,N519SF,B206,2500,LIT,Blue,No,Little Rock,Arkansas
6-Jan-23,0337,N5041E,C172,2000,LIT,Blue,No,Little Rock,Arkansas
6-Jan-23,0317,SKW3326,E75L,14000,ZSE,Green,No,Auburn,Washington
6-Jan-23,0305,SWA646,B737,1200,TPA,Green,No,Tampa,Florida
6-Jan-23,0303,AAL2124,B738,8000,P50,Green,No,Phoenix,Arizona
6-Jan-23,0300,SWA546,B737,9000,P50,Green,No,Phoenix,Arizona
6-Jan-23,0257,OXF7119,DA40,3400,FFZ,Green,No,Mesa,Arizona
6-Jan-23,0253,AAY981,A319,29000,ZTL,Blue,No,Hampton,Georgia
6-Jan-23,0247,FDX540,B763,1000,SJC,Green,No,San Jose,California
6-Jan-23,0226,N114SF,B407,2000,LIT,Green,No,Little Rock,Arkansas
6-Jan-23,0220,FFT100,A320,900,SJU,Green,No,San Juan,Puerto Rico
6-Jan-23,0218,JSX177,E145,9500,SCT,Green,No,San Diego,California
6-Jan-23,0217,DAL884,B737,30000,ZFW,Green,No,Fort Worth,Texas
6-Jan-23,0212,LN406HF,BE20,6000,BIL,Green,No,Billings,Montana
6-Jan-23,0145,DINGO81,D328,4500,PAM,Red,No,Panama City,Florida
6-Jan-23,0110,SWA1029,B737,10000,P50,Green,No,Phoenix,Arizona
6-Jan-23,0046,HORNS01,F35,100,HIF,Green,No,Ogden,Utah
6-Jan-23,0045,EDV4864,CRJ9,12000,A80,Green,No,Peachtree City,Georgia
6-Jan-23,0039,EJA176,GL7T,2800,ICT,Green,No,Wichita,Kansas
6-Jan-23,0034,AAL2065,A321,3000,D10,Green,No,Dallas-Fort Worth,Texas
6-Jan-23,0025,SWA2845,B737,10000,RDU,Green,No,Raleigh/Durham,North Carolina
7-Jan-23,2342,ASH6022,E75L,16200,CLT,Green,No,Charlotte,North Carolina
7-Jan-23,2318,LXJ355,E55P,Unk,CLT,Unk,No,Charlotte,North Carolina
7-Jan-23,2311,AAL2228,A321,19000,ZBW,Green,No,Nashua,New Hampshire
7-Jan-23,0705,SWA4776,B738,10000,NCT,Orange,No,Mather,California
7-Jan-23,0649,FDX382,MD11,7000,ZOA,Green,No,Fremont,California
7-Jan-23,0615,RESCUE9,HELO,1500,MSY,Green,No,New Orleans,Louisiana
7-Jan-23,0607,N610SC,P28A,4500,TUL,Green,No,Tulsa,Oklahoma
7-Jan-23,0452,AAY1224,A319,16000,ZJX,Green,No,Hillard,Florida
7-Jan-23,0430,DAL495,B767,15000,ZLA,Green,No,Palmsdale,California
7-Jan-23,0415,SKW5229,E75L,18500,FSM,Green,No,Fort Smith,Arkansas
7-Jan-23,0406,RPA3582,E75L,32000,Y90,Green,No,Fort Wayne,Indiana
7-Jan-23,0354,N617FG,C172,2500,PCT,Blue,No,Warrenton,Virginia
7-Jan-23,0320,N6162F,C172,2000,NCT,Green,No,Mather,California
7-Jan-23,0225,SKW5035,CRJ2,2600,LAX,Green,No,Los Angeles,California
7-Jan-23,0214,EJA662,C68A,4000,D10,Green,No,Dallas-Fort Worth,Texas
7-Jan-23,0145,N824AT,PA44,4000,GGG,Blue,No,Longview,Texas
7-Jan-23,0135,SCX605,B738,13000,P50,Green,No,Phoenix,Arizona
7-Jan-23,0129,ASH6036,E75L,3000,PIT,Green,No,Pittsburgh,Pennsylvania
7-Jan-23,0120,RNGR815,TEX2,2000,CRP,Green,No,Corpus Christi,Texas
7-Jan-23,0116,SWA1780,B737,12000,A80,Green,No,Peachtree City,Georgia
7-Jan-23,0035,EJA692,C68A,3000,D10,Green,No,Dallas-Fort Worth,Texas
8-Jan-23,2330,JIA5221,CRJ9,11000,ROC,Blue,No,Rochester,New York
8-Jan-23,2320,UCA4347,E145,12000,BTV,Green,No,Burlington,Vermont
8-Jan-23,1225,DAL839,A21N,8000,F11,Green,No,Orlando,Florida
8-Jan-23,0624,N271SM,PC12,9000,RNO,Green,No,Reno,Nevada
8-Jan-23,0530,SWA379,B738,2700,PDX,Blue,No,Portland,Oregon
8-Jan-23,0427,N73416,C172,2100,EUG,Green,No,Eugene,Oregon
8-Jan-23,0419,N19093,C177,2400,PAE,Green,No,Everett,Washington
8-Jan-23,0359,DAL2045,B712,9500,MCI,Green,No,Kansas City,Missouri
8-Jan-23,0345,UAL2270,B738,13000,D01,Green,No,Denver,Colorado
8-Jan-23,0320,SWA2433,B38M,16000,D01,Green,No,Denver,Colorado
8-Jan-23,0316,DOVER64,EC45,2600,MFE,Green,No,Mc Allen,Texas
8-Jan-23,0310,DAL2212,A319,5500,PCT,Blue,No,Warrenton,Virginia
8-Jan-23,0305,N108ND,PA28,7500,ZAB,Green,No,Albuquerque,New Mexico
8-Jan-23,0300,N20884,C172,6500,ZAB,Green,No,Albuquerque,New Mexico
8-Jan-23,0300,AJT886,B767,8000,SCT,Green,No,San Diego,California
8-Jan-23,0250,SKW3886,E75S,5200,SLC,Green,No,Salt Lake City,Utah
8-Jan-23,0250,JZA786,CRJ2,8000,PCT,Blue,No,Warrenton,Virginia
8-Jan-23,0235,SWA2345,B738,15000,ZLA,Green,No,Palmsdale,California
8-Jan-23,0225,N13312,C172,2000,S46,Green,No,Burien,Washington
8-Jan-23,0220,N220NH,DV20,9500,S56,Green,No,Salt Lake City,Utah
8-Jan-23,0204,ATN3519,B763,3000,TPA,Green,No,Tampa,Florida
8-Jan-23,0120,N588MP,B06,700,YUM,Green,No,Yuma,Arizona
8-Jan-23,0115,N523MT,EC35,2500,JAN,Green,No,Jackson  ,Mississippi
8-Jan-23,0040,N406ER,C172,3000,ICT,Green,No,Wichita,Kansas
9-Jan-23,2354,N110WH,C172,1500,AZO,Purple,No,Kalamazoo,Michigan
9-Jan-23,2349,LXJ590,CL30,7000,A80,Green,No,Peachtree City,Georgia
9-Jan-23,2348,AAL2348,A321,16000,CLT,Green,No,Charlotte,North Carolina
9-Jan-23,2330,N3544G,C172,1500,N90,Green,No,Westbury,New York
