Incident Date,Incident Time,Flight ID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State ,,
1-Jan-15,0016,SWA3490,B737 (BOEING - 737-,3500,BHM,Green,No,Birmingham,Alabama,,
1-Jan-15,0019,NKS948,A320 (AIRBUS - A-32,10000,ORD,Green,No,Chicago,Illinois,,
1-Jan-15,0046,DAL1146,B772 (BOEING - 777-,10000,ATL,Green,No,Atlanta,Georgia,,
1-Jan-15,0200,AAL99,B738 (BOEING - 737-,10000,PDX,Green,No,Portland,Oregon,,
1-Jan-15,0318,NKS265,A320,500,FLL,Green,No,Fort Lauderdale,Florida,,
1-Jan-15,0328,AAY558,MD83,8000,MFR,Green,No,Medford,Oregon,,
1-Jan-15,0448,CLINIC3,HELO (HELO - HELO),2500,CLE,Green,No,Cleveland,Ohio,,
1-Jan-15,0513,STAT,Unknown (Unknown -,2000,THV,Green,No,York,Pennsylvania,,
1-Jan-15,0524,UPS1355,A306,6500,EWO,Green,No,New Hope,Kentucky,,
1-Jan-15,0525,AAL47,B737 (BOEING - 737-,8000,SJC,Green,No,San Jose,California,,
1-Jan-15,0740,AAL79,MD83 (BOEING - MD-8,10000,AUN,Green,No,Auburn,California,,
1-Jan-15,0752,N457JD,EC45/G,1400,IAH,Green,No,Houston,Texas,,
1-Jan-15,0753,LIFEFLIGHT,BK17 (EUROCOPTER -,1500,IAH,Green,No,Houston,Texas,,
1-Jan-15,1107,FFT1258,A320 (AIRBUS - A-32,5400,LAS,Green,No,Las Vegas,Nevada,,
1-Jan-15,2356,STAT5,HELO,2500,PIT,Green,No,Pittsburgh,Pennsylvania,,
2-Jan-15,0026,VRD2004,A320 (AIRBUS - A-32,7000,ORD,Green,No,Chicago,Illinois,,
2-Jan-15,0108,AWE505,A319 (AIRBUS - A-31,2500,PHX,Green,No,Phoenix,Arizona,,
2-Jan-15,0120,SWA4824,B737 (BOEING - 737-,2500,PHX,Green,No,Phoenix,Arizona,,
2-Jan-15,0140,FLG435,CRJ9,UNKN,ALW,Green,No,Walla Walla,Washington,,
2-Jan-15,0207,EVAC35,EC35 (EUROCOPTER -,1300,EVV,Green-Red,No,Evansville,Indiana,,
2-Jan-15,0225,ASA620,B738 (BOEING - 737-,39000,FMG,Green,No,Reno,Nevada,,
2-Jan-15,0522,SWA433,B738,10000,PHX,Green,No,Phoenix,Arizona,,
2-Jan-15,0605,SKW2611,CRJ2 (CANADAIR - Ch,7000,SAN,Blue,No,San Diego,California,,
2-Jan-15,0608,SWA614,B737 (BOEING - 737-,5300,PDX,Green,No,Portland,Oregon,,
2-Jan-15,0733,AWE741,A321 (AIRBUS - A-32,4000,SAN,Green,No,San Diego,California,,
3-Jan-15,0015,AIR1,Bell 206B,501,FTW,Green,No,Fort Worth,Texas,,
3-Jan-15,0109,AAY558,MD83 (BOEING - MD-8,8000,OED,Green,No,Medford,Oregon,,
3-Jan-15,0209,SWA2080,B738 (BOEING - 737-,17000,DCA,Green,No,Washington,District of Columbia,,
3-Jan-15,0217,N1183U,C172 (AVIONES COLOM,3500,PTK,Green,No,Pontiac,Michigan,,
3-Jan-15,0241,AWE437,A321 (AIRBUS - A-32,7000,TJSJ,Green,No,San Juan,Puerto Rico,,
3-Jan-15,0253,SQH208,C208,UNKN,SAN,Green,No,San Diego,California,,
3-Jan-15,0258,BEZ404,C404 (CESSNA - 404,4000,TJSJ,Green,No,San Juan,Puerto Rico,,
3-Jan-15,0309,N5286C,C172 (AVIONES COLOM,7500,STS,Green,No,Santa Rosa,California,,
3-Jan-15,0314,RCH235,C17 (BOEING - C-17,3000,TSJU,Green,No,San Juan,Puerto Rico,,
3-Jan-15,0436,UAL856,A320 (AIRBUS - A-32,3400,IAD,Green,No,Washington,District of Columbia,,
3-Jan-15,0445,SKW4673,CRJ2,2800,VNY,Green,No,Van Nuys,California,,
3-Jan-15,0458,CSJ821,C208 (CESSNA - 208,3000,CXR,Green,No,Chardon,Ohio,,
3-Jan-15,0620,AAL2435,B737,5000,PHX,Green,No,Phoenix,Arizona,,
