Incident Date,Incident Time,Flight ID,Aircraft,Aviation Altitude,Altitude,Airport,Laser Color,Injury,City,State
1-Jan-16,0004,MED4,BK17,,2000,UNKN,Green,No,UNKN,UNKN
1-Jan-16,0007,SWA5431,B737,,6000,BWI,Green,No,Baltimore,Maryland
1-Jan-16,0055,ASA787,B739,,4000,MSY,Green,No,New Orleans    ,Louisiana
1-Jan-16,0058,CPZ5929,E170,,9000,DEN,Green,No,Denver,Colorado
1-Jan-16,0107,N785AM,BE20,,4000,SEA,Green,No,Seattle,Washington
1-Jan-16,0112,NKS470,A319 ,,1000,FLL,Green,No,Fort Lauderdale,Florida
1-Jan-16,0130,N2030C,C172,,1000,LGB,Green,No,Long Beach,California
1-Jan-16,0135,EJA901,C750,,9000,LAX,Green,No,Los Angeles,California
1-Jan-16,0145,FFT1286,A320,,12000,DEN,Green,No,Denver,Colorado
1-Jan-16,0218,AAL2299,MD83,,1400,TPA,Green,No,Tampa,Florida
1-Jan-16,0225,AAY923,A320 ,,2000,FLL,Green,No,Fort Lauderdale,Florida
1-Jan-16,0228,DAL2022,B712 ,,4000,TPA,Green,No,Tampa   ,Florida
1-Jan-16,0240,ASQ2734,CRJ2,,2300,PIB,Green,No,Hattiesburg/Laurel,Mississippi
1-Jan-16,0248,ASQ4308,E145,,5300,EKM,Green,No,South Bend,Indiana
1-Jan-16,0256,AAL574,A320 ,,4000,TPA,Green,No,Tampa   ,Florida
1-Jan-16,0257,N8312H,P28A,,11000,LGB,Green,No,Long Beach,California
1-Jan-16,0302,JIA5232,A320,,3000,MSY,Green,No,New Orleans    ,Louisiana
1-Jan-16,0356,AAL515,A321,,4500,PHX,Green,No,Phoenix,Arizona
1-Jan-16,0415,CPZ5953,E170,,2000,LAX,Green,No,Los Angeles,California
1-Jan-16,0415,SWA5663,B737,,5000,LAS,Red,No,Las Vegas,Nevada
1-Jan-16,0442,FDX1230,H/MD11,,37000,DEN,Green,No,Denver,Colorado
1-Jan-16,0508,SWA352,B737,,6500,OAK,Blue,No,Oakland ,California
1-Jan-16,0525,JBU1433,E190,,2500,SJU,Green,No,San Juan,Puerto Rico
1-Jan-16,0525,UAL1480,B739,,2500,SJU,Green,No,San Juan,Puerto Rico
1-Jan-16,0537,FDX1266,B752,,2500,MEM,Green,No,Memphis,Tennessee
1-Jan-16,0542,ASA667,B737 ,,11000,SEA,Green,No,Seattle,Washington
1-Jan-16,0603,EVAC22,AS50,,1800,PHX,Green,No,Phoenix,Arizona
1-Jan-16,0613,CTA307,C402 ,,1000,LAS,Green,No,Las Vegas,Nevada
1-Jan-16,0619,RESCUE1,B06 ,,800,HOU,Green,No,Houston,Texas
1-Jan-16,1120,910SE,C172,,2300,BUR  ,Green,No,Burbank,California
1-Jan-16,2303,N733BK,C172 ,,2300,CAK,Green-Red,No,Akron,Ohio
2-Jan-16,0000,AIRR20,H500,,1000,SDF,Green,No,Louisville,Kentucky
2-Jan-16,0001,3891636,Bell 407GX,,100,TUL,Green,No,Tulsa,Oklahoma
2-Jan-16,0018,N29ND,C152,,4000,SGJ,Green,No,St. Augustine,Florida
2-Jan-16,0021,AAL1726,E190,,8000,RBD,Green,No,Dallas,Texas
2-Jan-16,0055,RJE325,LJ45,,6000,CVG,Green,No,Covington,Kentucky
2-Jan-16,0111,ENY3042,E145,,3000,ABI,Green,No,Abilene,Texas
2-Jan-16,0135,DCM4004,LJ60,,7000,BZN,Green,No,Bozeman,Montana
2-Jan-16,0137,NKS906,A320,,7000,HOU,Green,No,Houston,Texas
2-Jan-16,0141,N28847,AA5,,900,TOA,Green,No,Torrance,California
2-Jan-16,0200,FLTPLN404,LJ60 ,,UNKN,BZN,Green,No,Bozeman,Montana
2-Jan-16,0215,JPB515,H25B,,400,PBI,Green,No,West Palm Beach,Florida
2-Jan-16,0252,UAL558,B737,,16000,ATL,Green,No,Atlanta,Georgia
2-Jan-16,0302,DPJ523,CRJ2 ,,12000,RIV,Green,No,Riverside,California
2-Jan-16,0325,ASA735,B737,,3400,SEA,Green-Red,No,Seattle,Washington
2-Jan-16,0420,DAL1061,B739,,6000,LAX,Green,No,Los Angeles,California
2-Jan-16,0420,UAL1291,B752,,6000,LAX,Green,No,Los Angeles,California
2-Jan-16,0422,ASA319,B737,,12000,SEA,Green,No,Seattle,Washington
2-Jan-16,0437,VRD169,A320 ,,6000,LAX,Green,No,Los Angeles,California
2-Jan-16,0443,SKW6194,E170 ,,7000,SMO,Green-Blue,No,Santa Monica,California
2-Jan-16,0457,SWA2858,B737 ,,1500,BDL,Green,No,Windsor Locks,Connecticut
2-Jan-16,0534,ASA804,B737 ,,2000,SAN,Green,No,San Diego,California
2-Jan-16,0535,UNK,UNK,,UNKN,BLI,Green,No,Bellingham,Washington
2-Jan-16,0605,UAL296,A319,,32000,VEL,Blue,No,Vernal,Utah
2-Jan-16,0608,UNKN ,UNKN,,32000,MTU,Blue,No,Myton,Utah
2-Jan-16,0644,ASA701,B739,,200,BLI,Green,No,Bellingham,Washington
2-Jan-16,0735,N910SE,C172,,2300,BUR,Green,No,Burbank,California
2-Jan-16,0750,ASA821,B737-800,,4000,OGG,Green,No,Kahului,Hawaii
2-Jan-16,0755,ACA043,B767-300,,10000,HNL,Green,No,Honolulu,Hawaii
2-Jan-16,0801,ASA831,B737 ,,10000,HNL,Green,No,Honolulu ,Hawaii
2-Jan-16,2242,AAL2259,MD80,,2800,DFW,Blue,No,Dallas-Fort Worth,Texas
2-Jan-16,2338,N81WS,BE36,,9000,UST,Green,No,St. Augustine,Florida
2-Jan-16,2352,FLG3745,CRJ9,,16000,CBG,Green,No,Cambridge,Minnesota
3-Jan-16,0050,DEL SOL66,C172 ,,1000,ABQ    ,Green,No,Albuquerque,New Mexico
3-Jan-16,0125,N6146M,BE36,,1600,FSM,Green,No,Fort Smith,Arkansas
3-Jan-16,0148,AAL500,A320,,7500,PHX,Green,No,Phoenix,Arizona
3-Jan-16,0148,N723CC,LJ55 ,,1500,PBI,Green,No,West Palm Beach,Florida
3-Jan-16,0205,NSH900,F900,,11000,UES,Green,No,Waukesha  ,Wisconsin
3-Jan-16,0222,CPZ5843,E170,,7500,SEA,Green,No,Seattle,Washington
3-Jan-16,0234,UAL779,B757,,13000,ABE,Green,No,Allentown,Pennsylvania
3-Jan-16,0255,WCC35,B350,,12000,SNA,Green,No,Santa Ana,California
3-Jan-16,0256,N19FG,SK61,,11500,TUS,Green,No,Tucson,Arizona
3-Jan-16,0256,SWA1723,B737,,110,PHX,Green,No,Phoenix,Arizona
3-Jan-16,0301,LXJ517,CL30,,2000,OAK,Green,No,Oakland,California
3-Jan-16,0313,SKW4775,CRJ2 ,,UNKN,GPI,Green,No,Kalispell,Montana
3-Jan-16,0318,N437AE,B06,,500,SPZ,Green,No,Silver Springs,Nevada
3-Jan-16,0326,ASA239,B737 ,,6000,SAN,Green,No,San Diego,California
3-Jan-16,0331,SWA4795,B737 ,,15000,DEN,Green,No,Denver,Colorado
3-Jan-16,0332,XOJ537,CL30,,2000,OAK,Green,No,Oakland,California
3-Jan-16,0347,SKW5724,E170/L,,22000,SNA,Green,No,Santa Ana,California
3-Jan-16,0401,EJA517,CL30 ,,2000,OAK,Green,No,Oakland,California
3-Jan-16,0425,SWA6284,B737,,4500,PIT   ,Green,No,Pittsburgh,Pennsylvania
3-Jan-16,0430,AIP5540,B190,,2500,BIS,Green,No,Bismarck,North Dakota
3-Jan-16,0455,SWA357,B738,,2500,DAL    ,Green,No,Dallas,Texas
3-Jan-16,0459,VRD490,A320,,3000,LAS,Green,No,Las Vegas,Nevada
3-Jan-16,0510,SWA6458,B737 ,,4000,FLL,Green,No,Fort Lauderdale,Florida
