Incident Date,Incident Time,Flight ID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State
1-Jan-17,0011,NKS423,A320,1500,MCO,Green,No,Orlando,Florida
1-Jan-17,0104,ASH5771,CRJ9,7200,DTO,Green,No,Denton,Texas
1-Jan-17,0145,TCF2803,E170,5500,FDK,Green,No,Frederick,Maryland
1-Jan-17,0205,JBU543,E190,2000,PBI,White,No,West Palm Beach,Florida
1-Jan-17,0227,ASQ2821,CRJ2,8000,SAF,Green,No,Santa Fe,New Mexico
1-Jan-17,0240,EJA589,C565,8000,LVK,Green,No,Livermore,California
1-Jan-17,0312,SWA3019,B737,7000,LVK,Red ,No,Livermore,California
1-Jan-17,0315,VIR10K,A346,2900,FOK,Green,No,Westhampton Beach,New York
1-Jan-17,0352,UAL766,B738,13000,SFO,Green,No,San Francisco,California
1-Jan-17,0423,SKW5978,CRJ2,2500,BFL,Green,No,Bakersfield,California
1-Jan-17,0516,SWA3013,B738,12000,MRY,Blue,No,Monterey,California
1-Jan-17,0801,UAL194,B737,5000,SAN,Green,No,San Diego,California
1-Jan-17,0802,DCM4137,BE40,8000,ONT,Green,No,Ontario,California
1-Jan-17,2200,LIF1,A139,3000,BOS,Green,No,Boston,Massachusetts
1-Jan-17,2200,MEDEVAC1,A139 ,300,BOS,Green,No,Boston,Massachusetts
1-Jan-17,2305,AAL301,MD83,3000,DTW,Green,No,Detroit,Michigan
1-Jan-17,2325,DAL889,B717,11000,LGA,Green,No,New York,New York
2-Jan-17,0013,SKW4662,CRJ7,3000,TUL,Green,No,Tulsa,Oklahoma
2-Jan-17,0134,N711SR,PC12,5000,LAS,Green,No,Las Vegas,Nevada
2-Jan-17,0134,RSP613,E50P,5000,LAS,Green,No,Las Vegas,Nevada
2-Jan-17,0216,SWA3677,B737,5000,FLL,Green,No,Ft. Lauderdale,Florida
2-Jan-17,0218,GGN7292,B190,1800,SYR,Green,No,Syracuse,New York
2-Jan-17,0300,QXE574,DH8D,500,PDX,Green,No,Portland,Oregon
2-Jan-17,0320,DAL447,B767,8000,LAX,Green,No,Los Angeles,California
2-Jan-17,0323,SKW3488,E75S,1300,BUR,Green,No,Burbank,California
2-Jan-17,0325,DAL417,B767,2500,LAX,Green,No,Los Angeles,California
2-Jan-17,0328,SKW5738,E75,32000,STS,Green,No,Santa Rose,California
2-Jan-17,0330,ASA386,B739,6000,SFO,Green,No,San Francisco,California
2-Jan-17,0348,ASA421,B738,500,PDX,Green,No,Portland,Oregon
2-Jan-17,0427,QXE5,DH8D,500,PDX,Green,No,Portland,Oregon
2-Jan-17,0910,ASA184,B737,3000,SEA,Green,No,Seattle,Washington
2-Jan-17,1152,UAL197,B737,1600,GUM,Red, No,Guam,Guam
2-Jan-17,2337,AMF706,B190,300,MTN,Green,No,Baltimore,Maryland
3-Jan-17,0058,SWA4547,B737,5000,RNO,Green,No,Reno,Nevada
3-Jan-17,0123,TMC452,BE40,1800,MHT,Green,No,Manchester,New Hampshire
3-Jan-17,0130,AAY843,A320,3000,PIE,Red ,No,St. Petersburg-Clearwater,Florida
3-Jan-17,0139,AAY899,A320,3000,PIE,Red,No,St. Petersburg-Clearwater,Florida
3-Jan-17,0208,AAY877,MD83 ,3000,PIE,Red, No,St. Petersburg-Clearwater,Florida
3-Jan-17,0215,SWA3725,B737,26000,DHN,Green,No,Dothan,Alabama
3-Jan-17,0225,VHT11,GLF3,13000,RIL,Green,No,Rifle,Colorado
3-Jan-17,0247,PRD9,GLF4,5000,LAS,Green,No,Las Vegas,Nevada
3-Jan-17,0315,UAL8189,B737,28000,IAH,Blue,No,Houston,Texas
3-Jan-17,0551,AAL470,A321,10000,SAN,Green,No,San Diego,California
3-Jan-17,0656,DAL309,B737,4500,LAX,Green,No,Los Angeles,California
3-Jan-17,2214,GPD107,PC12 ,7000,SJU,Green,No,San Juan,Puerto Rico
3-Jan-17,2222,ZGPD107,PC12,7000,SJU,Green,No,San Juan,Puerto Rico
3-Jan-17,2300,N431DR,C182,1400,MLB,Green,No,Melbourne,Florida
4-Jan-17,0027,DAL2167,B739,9500,MSP,Green and Red,No,Minneapolis,Minnesota
4-Jan-17,0035,ASQ2795,CRJ2,6000,CLL,White,No,College Station ,Texas
4-Jan-17,0111,PCM7682,C208,500,SMX,UNKN,No,Santa Maria,California
4-Jan-17,0218,AMF1937,B190,2000,OXR,Green,No,Oxnard,California
4-Jan-17,0225,DAL1472,A320,3000,MSY,Green,No,New Orleans,Louisiana
4-Jan-17,0227,N67WG,E55P,2000,SDM,Green,No,San Diego,California
4-Jan-17,0229,ASA802,B738,15000,ONP,Blue and Green,No,Newport,Oregon
4-Jan-17,0233,N165YP,C172,6500,KLS,Green,No,Kelso,Washington
4-Jan-17,0305,SWA6393,B737,2500,BUR,Green,No,Burbank,California
4-Jan-17,0425,ASA717,B737,8000,SLC,Green,No,SALT LAKE CITY,Utah
4-Jan-17,1830,ZKAP711,C402 ,1600,SJU,Green,No,San Juan,Puerto Rico
5-Jan-17,0015,UPS2332,B763,11000,BCT,Red, No,Boca Raton,Florida
5-Jan-17,0032,N78197,C172,1700,DWH,Green,No,Houston,Texas
5-Jan-17,0036,BOSOX77,H60,2600,EWB,Green,No,New Bedford,Massachusetts
5-Jan-17,0036,N89114,C152,2500,BCT,Green,No,Boca Raton,Florida
5-Jan-17,0056,N228HS,C206,3000,MFE,Green,No,McAllen,Texas
5-Jan-17,0122,DAL2073,B739,2800,PHX,Green,No,Phoenix,Arizona
5-Jan-17,0131,SKW4730,CRJ7,3000,SEA,Green,No,Seattle,Washington
5-Jan-17,0153,AAL52,B738,4000,DAA,Green,No,Fort Belvoir,Virginia
5-Jan-17,0247,ASQ4385,E145/L,15000,TYS,Green,No,Knoxville,Tennessee
5-Jan-17,0254,N2195P,C172 ,3500,LUK,Green,No,Cincinnati,Ohio
5-Jan-17,0307,N828WW,C172,4500,PHX,Green,No,Phoenix,Arizona
5-Jan-17,0320,BMJ1693,BE65,8000,DEN,Green,No,Denver,Colorado
5-Jan-17,0323,STALK44,C130,6000,ABQ,Green,No,Albuquerque,New Mexico
5-Jan-17,0400,ASA566,B738,7000,PDX,Green,No,Portland,Oregon
5-Jan-17,0415,UPS1291,A300,15000,SDF,Green,No,Louisville,Kentucky
5-Jan-17,0416,SKW5216,E75L,3000,OMA,Green,No,Omaha,Nebraska
5-Jan-17,0436,AAL254,A321,3000,EMT,Green,No,El Monte,California
5-Jan-17,0458,RPA4502,E75L,7000,CHS,Green,No,Charleston,South Carolina
5-Jan-17,2305,BEZ320,C208,4000,SJU,Green,No,San Juan,Puerto Rico
5-Jan-17,2317,N401LJ,LJ40,600,VRB,Green,No,Vero Beach,Florida
5-Jan-17,2339,SBS4919,SF34,4000,SJU,White,No,San Juan,Puerto Rico
6-Jan-17,0038,PDT4849,DH8A,1500,ABE,Green and Red,No,Allentown,Pennsylvania
6-Jan-17,0050,LUCKY070,Unknown ,500,PNS,Green,No,Pensacola,Florida
6-Jan-17,0050,VV070,B206,500,PNS,Green,No,Pensacola,Florida
6-Jan-17,0105,N47965,P28A,8500,APA,Green,No,Denver,Colorado
6-Jan-17,0205,N441HL,C441,15500,LAX,Green,No,Los Angeles,California
6-Jan-17,0212,JBU531,A320,5000,SNA,Blue,No,Santa Ana,California
6-Jan-17,0345,JBU348,A320,1000,HWD,Green,No,Hayward,California
6-Jan-17,0416,N406TD,HEICOPTER,1500,LGA,Green,No,New York,New York
6-Jan-17,0444,SWA1772,B737,1200,BUR,Green,No,Burbank,California
6-Jan-17,0505,ASA368,B737,13500,MYV,Green,No,Marysville,California
6-Jan-17,0505,N6615Y,C210,4000,MHR,Green,No,Sacramento,California
